,Query,Description
161,Technology Integration Analyst @ Western digital,overview nyit new york institute technology offer 90 degree program including undergraduate graduate professional degree 50 field study including architecture design ; art science ; education ; engineering computing science ; health profession ; management ; osteopathic medicine non-profit independent private institution higher education nyit ha 9000 student campus new york city manhattan long island old westbury new york ; jonesboro arkansas ; vancouver british columbia ; various program around world nyit sponsor 13 ncaa division ii program nyit guided mission provide career-oriented professional education offer access opportunity qualified student support applications-oriented research benefit larger world 100000 graduate received degree nyit information visit nyit.edu nyit ’ college osteopathic medicine seek senior classroom technology integration specialist located old westbury campus responsibility design & develop training material support classroom technology conceptualize integration hardware help support college osteopathic medicine propose plan future idea concept help improve classroom teaching learning research new technology & implementation train student faculty & staff use current classroom technology develop propel idea help improve current medium workflow room management integrate new medium technology academic setting help student learn better hardware ipads mobile device improve current streaming technology delivery service college osteopathic medicine student provide technical support academic medium technology attend industry conference help enhance medical school role technology content creation maintain nyitcom audio video component equipment old westbury campus perform duty assigned qualification bachelor ’ degree experience a/v integration classroom support required must excellent writing editing oral communication skill ; need flexible highly organized great attention detail confidence decision making skill must knowledge av system control amplifier etc extron controlled system classroom/event environment knowledge computer computer software integration av system required must ability support live av speaking/presentation event able effectively work independently team member knowledge common desktop application ability maintain support pc troubleshooting _please submit cover letter & resume consideration_ _eoe aa m/f/vet/disability_
162,Technology Integration Analyst @ Atlassian,microsoft retail store employee unique opportunity impact company 's mission every single day microsoft retail store hub cutting-edge device service providing customer opportunity immerse latest greatest technology solution fit everyday lifestyle member global store team value unique perspective background experience talent ability seeking store teammate make authentic connection provide world-class service consumer small business & community customer come walk life connection transform microsoft-brand fan provide work environment diverse inclusive welcoming training make feel empowered best work even ’ tech expert career opportunity employee fantastic comprehensive competitive benefit full-time part-time employee gratitude & recognition awesome employee belief microsoft wewinasateam gaming expert passionate gaming evangelist microsoft-brand ambassador face microsoft providing level gaming expertise knowledge gaming expert help customer see possible technology ultimately empowering achieve responsibility customer obsession generate customer obsession within community passion knowledge everything gaming related help customer discover buy use love microsoft technology solution service meet exceeds individual expectation evangelize product offering cross platform ecosystem integration in-store experience learning engagement build increased utilization device customer love adaptability engaged local gaming community ’ preference gaming option style play in-store experience able pivot changing in-store environment circumstance situation customer engagement ability thrive dynamic fast paced retail environment drive result partnership community development specialist develop relationship local gaming community esports team tournament organizer gaming influencers key gaming partner lead large scale event store tenaciously pursues positive outcome using effective approach solve problem take responsibility delivering commitment seek positive result benefit customer externally internally influencing impact continuously maintain product knowledge expert everything gaming related internal external customer learning others along self-educating showcasing product service offering building wewinasateam culture posse ability persuade positive gaming community relationship organizing hosting in-store gaming event foster relationship locally unique event drive brand awareness gaming community collaboration feel empowered engage peer store leader corporate field team member development innovative way make larger impact customer life combine resource join effort teammate achieve store company goal qualification required qualification 1+ year ’ retail sale customer service experience valid authorization work u.s. required ; visa sponsorship available position preferred qualification prior experience retail sale hospitality high-level customer service experience preferred well experience selling technology consumer product gamer enthusiast strong knowledge gaming market industry including xbox play station esports pc gaming legacy console strong tie ability network local gaming community gaming influencers ability create drive host instore event promote resonates gaming community able teach influence local store team around gaming experience ability work independently measure event participation create strategy local store teams/corporate team influence brand loyalty local gamer engagement strong organizational skill ability articulate high-level plan forecast strong passion microsoft product service disclaimer description ha designed indicate general nature level work performed employee within position actual duty responsibility qualification may vary based assignment group microsoft equal opportunity employer qualified applicant receive consideration employment without regard age ancestry color family medical care leave gender identity expression genetic information marital status medical condition national origin physical mental disability political affiliation protected veteran status race religion sex including pregnancy sexual orientation characteristic protected applicable law regulation ordinance also consider qualified applicant regardless criminal history consistent legal requirement need assistance and/or reasonable accommodation due disability application recruiting process please send request via accommodation request form benefits/perks listed may vary depending nature employment microsoft country work
163,Technology Integration Analyst @ Luxoft,microsoft envisions world passionate innovator come collaborate envisioning taking career place simply ’ anywhere else world possibility innovation openness sky ’ s-the-limit thinking – cloud-enabled world mission empower every person every organization planet achieve unique capability harmonize need individual organization care deeply taking ideal vision global making difference life organization corner planet always strive learn ? insatiably curious lean uncertainty take risk learn quickly mistake ? share build ’ idea better together ? stand awe human dare achieve motivated every day empower others achieve technology innovation ? come microsoft - together make difference learn microsoft ’ mission please visit http //careers.microsoft.com/mission-culture check product http //www.microsoft.com/en-us responsibility threat protection specialist drive technical decision customer buy architect develop adopt solution based microsoft technology expert source information sale team mapping customer security initiative strategy requirement supported microsoft solution develop strong business justification explain demonstrate prove in-depth microsoft threat protection solution deploy driving technical presentation demonstration architecture & design session proof concept pilot leveraging seller partner organization microsoft service needed provide pre-sales technical support enable customer partner architecture develop deploy use security solution lead security privacy compliance discussion act superior customer focus mind integral member microsoft sale team generating excitement fill accelerate sale pipeline using deep technical expertise core domain well adjacent technology connection orchestration point technical resource provide leadership threat protection technical seller community within microsoft among key partner help educate security offering positioning joint selling strategy engage field resource service partner cybersecurity product development provide feedback current future product requirement including customer impact communicate competitive intelligence field communicate escalate technical architectural competitive blocker insight appropriate channel develop partner engagement driving sale deployment adoption microsoft solution orchestrate cross-workload solution technical resource internaly partner microsoft product service stay sharp share knowledge maintain expand personal technical competitive sale deployment lifecycle readiness service oriented world participate internal microsoft technical community broader industry event blog whitepapers article domain qualification professional industry experience 7+ year ’ experience enterprise technology sale focus security enterprise scenario preferred technical depth 5+ year technical pre-sales experience consultative design implementation and/or support security solution sale preferred excellent communicator strong negotiation organizational presentation product demo written verbal communication skill 5+ year success managing complex selling process managing various customer ’ stakeholder relationship primary tdm secondary bdm get consensus solution project required executive presence proven experience engaging c- level executive ability articulate demonstrate security solution senior business technical decision maker front-line technologist preferred performer highly driven person consistently exceeds goal expectation required collaborative creativity able work cohesively member sale & service field partner corporate sale engineering marketing required exceptional problem-solving mentality leveraging internal external resource needed required travel required 50 technical experience integration on-premises cloud solution meet customer requirement preferred understanding security approach customer concern around cloud architecture required working knowledge specific microsoft security technology standard preferred experience protecting perimeter device data external threat using variety security technology required deep technical experience one following area required managing threat vector physical networking web based attack phishing threat response best practice device based threat management capability localized firewall etc restrictive access network methodology appropriate secure traffic solution modern threat ddos denial service based vector securing customer data ransomware malware software based vector well operational practice mitigate risk education bachelor ’ degree computer science information technology related field required microsoft believe diversity enriches performance product community live work life employee microsoft equal opportunity employer qualified applicant receive consideration employment without regard age ancestry color family medical care leave gender identity expression genetic information marital status medical condition national origin physical mental disability political affiliation protected veteran status race religion sex including pregnancy sexual orientation characteristic protected applicable law regulation ordinance also consider qualified applicant regardless criminal history consistent legal requirement need assistance and/or reasonable accommodation due disability application recruiting process please send request via accommodation request form benefits/perks listed may vary depending nature employment microsoft country work
164,Technology Integration Analyst @ IDC Technologies,mission lamont doherty earth observatory ldeo columbia university seek fundamental knowledge origin evolution future natural world scientist study planet deepest interior outer reach atmosphere every continent every ocean providing rational basis difficult choice facing humanity much research involves computationally demanding data analysis modeling part strategic initiative enhance observatory 's approach computing data science seeking six student participate pilot computational technology intern program paid intern paired lamont scientist contribute ongoing research project involving scientific computing machine learning big data intern develop software data-analysis pipeline support project deploy application scale commercial cloud platform return intern gain valuable real-world experience working challenging novel problem ocean energetics deep-sea image analysis ocean wave hurricane temporary position last 2018 fall semester minimum qualification grade applicant must meet minimum qualification considered applicant intern expected prior knowledge earth science solid programming background understanding contemporary best practice software development particular seek intern following qualification currently enrolled full-time undergraduate master student computer science engineering data science columbia university student strongly preferred least two year coding experience formal informal language used scientific computing e.g python r matlab fortran experience version control test-driven software development continuous integration modern best practice scientific software desire solve real world problem ! additional position-specific minimum qualification applicant must meet minimum qualification considered applicant special instruction please submit following one page cover letter explaining background goal resume include link github profile possible unofficial transcript name contact information two reference provide letter recommendation please note transcript reference sheet combined one document uploaded `` doc '' preferred qualification essential function additional essential function limit 3950 character special indication position work hipaa compliance training required response participation medical surveillance required response type posting ? waiver request ? standard- short term casual requisition open date 08-01-2018 requisition close date open filled quick link jobs.columbia.edu/applicants/central ? quickfind=171060
165,Technology Integration Analyst @ NTT DATA Services,state university new york suny located albany new york seek application manager technology strategy integration within office academic technology information service atis position report directly executive director academic technology information service organization within atis provide service support suny campus area online teaching learning digital library service professional development responsibility position include technical strategy focused advancing higher education overseeing participating web application development programming service working atis leader establish priority improve service offering responsibility work atis leader establish priority technical infrastructure support academic technology information service online teaching learning digital library service academic innovation professional development oversee provide web application development programming service atis organization establish atis technology strategy aligned suny ’ technology strategy lead overall implementation technology environment support mission atis organization enhance service offering work leader within office provost office information technology oit identify opportunity utilize technology integration provide coherent coordinated data environment promote teaching learning activity across suny university-system lead ongoing maintenance support existing atis technology environment including integration internal external system work information technology exchange center itec ensure coordination atis organization partnering itec technology decision impact delivery service serve technical liaison office information technology academic technology well technical infrastructure programming application development effort supporting delivery service participate procurement effort technology service support atis organization work additional technology procurement atis programmatic-focused project required qualification bachelor ’ degree minimum 5 year ’ experience leading technology system strategy within diverse educational environment serving customer base wide range role responsibility experience computer programming application design system architecture web development related information technology experience experience relational database i.e oracle mysql microsoft sql server postgresql and/or sql experience leading technology system implementation including integration multiple technology platform solution experience supervising mentoring technical staff excellent oral written communication skill including ability effectively present technology concept people technical non-technical background level organization experience facilitating stakeholder engagement requirement gathering user acceptance testing end-user support and/or customer service project management experience proven ability work across organizational supervisory boundary achieve project outcome highly self-motivated self-directed able manage multiple priority effectively strong organizational problem-solving skill proven track record teamwork collaboration ability meet deadline demonstrated experience academic technology higher education and/or online education preferred qualification bachelor ’ degree computer science information science related field master ’ degree experience use multiple development lifecycle methodology including software development lifecycle sdlc agile method experience technology procurement outsourcing service level agreement sla service management itsm salary commensurate experience qualification excellent fringe benefit interested candidate invited submit cover letter resume online review application begin immediately continue position filled
166,Technology Integration Analyst @ Ingersoll-Rand (India) Ltd,job description senior level technical leader position heterogeneous integration hi technology candidate must 10+ year professional r & experience material process / process integration characterization application advanced high density packaging responsibility include devising new approach achieve higher density chip chip interconnects identify leading edge industry trend assist lead development industry leading hi r & roadmap lead mentor team member advise management focus area / gap research agenda required technical professional expertise required skill expertise one following area required c4 bumping / solder material cu pillar tsvs critical technology element associated 2.5d / 3d packaging assembly preferred tech prof experience preferred skill skill current knowledge advanced packaging industry supply chain material equipment supplier interaction management eo statement ibm committed creating diverse environment proud equal opportunity employer qualified applicant receive consideration employment without regard race color religion gender gender identity expression sexual orientation national origin genetics disability age veteran status ibm also committed compliance fair employment practice regarding citizenship immigration status
167,Technology Integration Analyst @ Capgemini Technology Services India Limited,job description position summary business integration lead responsible application data driven insight spark planning investment measurement process additionally role requires candidate design lead implementation modern measurement plan longer term roadmaps spark client working closely internal client team analytics insight data technology innovation team vital part role function expert technical point escalation analytical problem solver technical translator internal account team client provides ongoing strategic account direction/vision technology process digital reporting/insights specific responsibility successful candidate experience expertise intersect consulting skill data advanced analytics marketing strategy drive improve client ’ business result build strong relationship internal stakeholder group facilitating synergy strategy investment function manage day-to-day client business build develop relationship client business director brand team ensuring client overall data proposition relevant aligns strategy direction drive culture ‘ always ’ data driven decision making institutionalize use consumer-driven analytics medium / marketing investment planning grow product delivery agency revenue organically cross selling selling value add analytical product across client division market & category scope direct advanced analytics project ensure deliverable designed answer valuable client medium team question timeline scope adhered specific task consult senior client marketing business leader define answer important business question advising best leverage medium & marketing investment drive business result work collaboratively network providing client best thinking leadership creating meaningful measurable marketing experience underpin client marketing process ‘ big picture ’ measurement framework kpis used evaluate experience specific plan campaign investment across paid owned earned medium environment keep abreast evolving medium landscape including research emerging trend provide insight medium team client required guide work closely strategy investment team client team deliver “ data driven ” marketing investment decision much channel etc… create manage deliverable detailed project plan align expectation outcome provide high value consultation layer top analytics deliverable determine best mean communicating analytical insight client ensures understanding result application analysis applied build presentation providing clear analytics story – work important truth analytics reveal action follow analysis qualification qualification candidate must 8+ year experience consulting client making strategic investment decision improve business result bachelor ’ degree marketing/advertising statistic mathematics business engineering management information system related field graduate degree statistic economics econometrics related discipline plus senior resource must strong functional understanding contemporary marketing analytics advertising technology research technique well innovative vision practice evolve keep pace ever changing marketing environment strong understanding experience digital medium buying kpi development technology practice campaign planning execution reporting analysis experience required experience medium measurement tool including 3rd party ad serving syndicated research web analytics netratings comscore doubleclick atlas omniture coremetrics google analytics etc preferred required ability multi-task adapt change fast paced constantly changing environment hand problem solving ability – “ ” approach someone thinker doer strong client management/consultative experience presenting resolving issue extensive experience leading managing marketing technology project ideation installation strong critical thinking problem solving skill – demonstrated ability mine data relevant actionable insight advanced written verbal communication skill ability communicate/translate complex concept non-technical audience demonstrated experience programmatic audience buying concept execution quantitative skill ability roll sleeve dig number necessary required skill strong math analytical skill advanced office skill word excel powerpoint good understanding traditional digital medium data excellent project management skill excellent organizational skill attention detail must excellent presentation communication skill additional information throughout rich history ’ taken pride ongoing legacy commitment constant evolution ’ dna evolve melding spirit startup soul powerhouse across business aim bring modern heat brand – kind heat arises intersection startup powerhouse ; data content ; art science ; old new energy innovation fuel startup spirit unrivaled marketplace clout exclusive partnership global practice capability disposal full-service publicis medium agency deliver powerhouse soul client hope ’ take moment learn u begin thinking might put “ power plus ” work http //www.sparkfoundryww.com/ spark foundry equal opportunity employer information kept confidential according eeo guideline
168,Technology Integration Analyst @ Capgemini Technology Services India Limited,suffolk care collaborative scc central service organization suffolk care collaborative www.suffolkcare.org newly formed collaborative administered office population health oph stony brook medicine vision oph improve county-wide health addressing wide range challenge health focus building strategy program identify stratify risk population improve clinical outcome financial result oph comprised three key functional area 1 project management office 2 care management program 3 network development community/patient engagement performance office central service organization design currently engaged support initiative scc suffolk performing provider system pps delivery system reform incentive payment dsrip program dsrip grant waiver administered ny doh allocated $ 6.42 billion medicaid dollar fundamentally restructure health care delivery system transition care delivery largely inpatient-focused system community-facing system address medical need social determinant health scc currently recruiting data integration analyst support patient engaging technology health information exchange department position description data integration analyst responsible design building on-going support health information exchange hie environment includes cerner hie rhio openllink interface engine external interface data mapping normalization quality assurance data integration analyst report directly director patient engaging technology health information exchange job duty include working suffolk care collaborative stony brook medicine sbm connecting entity hospital clinic ambulatory practice may also include entity behavior health home care nursing facility etc affiliate sbm daily task include analysis ambulatory acute emr hl7 flat file ccda message development configuration new hie using cerner clinical exchange platform framework rhio openlink interface engine database stored procedure configuration file modification existing hie code configuration support addition new feed new feature implemented customer enhancement internal external upgrade ongoing ambulatory emr rollouts unit testing entire hie required deployment new installs upgrade customer specific enhancement documentation interface design hie rhio configuration code issue tracking follow resolution providing production support escalated issue working closely cerner rhio openlink technical analyst project manager facilitate implementation meet need timeline supporting customer call various project different stage
169,Technology Integration Analyst @ DM CONSULTING (INDIA) PVT LTD,job description imagine life where…you ’ withdraw money atm ? local grocery store never re-stocked favorite food item ? ’ redeem gift card received birthday ? ’ receive medical care insurance claim ’ processed ? online order never get delivered shipping company ’ know ? life would like without enterprise data integration ! might realized behind scene given business could many disparate application e.g order transportation human resource account & finance system often inherently talk one another addition business inherently talk without software enable role integration software come play software sits middle disparate application face external business enable talk electronically software solves simple complex data routing use case required get file point point b includes limited identifying content and/or context data received performing various task data e.g encrypting data decrypting data transforming data e.g xml json format edi x12 flat file format invoking database process data e.g stored procedure archiving data file share splitting data batch individual transaction ultimately securely delivering data destination using industry standard communication protocol e.g as2 ftp sftp coenterprise 's enterprise integration team help make day-to-day thing life happen connect business team world-class enterprise software enables seamless transparent flow data role challenged learn multiple technology discipline faced solving complex business problem using integration technology ’ thinking dynamically solving variety real-world problem job ! role integration analyst work directly customer member business-to-business b2b consulting team deploy solution support client ’ business technology need right candidate self-starter complex problem solver ha strong soft skill capable learning multiple technology discipline concept integration analyst trained latest technology including limited suite proprietary ibm business-to-business managed file transfer product e.g sterling integrator secure proxy control center transformation extender partner engagement manager connect direct integration analyst also get broad exposure area virtualized server vmware database mssql oracle db2 system port architecture industry communication protocol as2 sftp http server operating system linux/unix window electronic data interchange edi managed file transfer mft concept enterprise application integration eai concept data translation using complex map e.g xml format json security standard pgp/gpg ssl certificate compliance standard edi x12 health care hipaa/hl7 java extensibility coenterprise flagship product syncrofy much candidate key contributor assigned project work collaboratively client project team member deliver technical project meet exceed client ’ need work client document business need translate requirement technology application stack/solution to-be delivered gain exposure technology framework software development life cycle sdlc includes capturing client requirement designing solution meet need building technical artifact testing system deploying whole package successful go-live create maintain client deliverable e.g design specification architecture diagram installation guide status update define estimate develop test object follow task assigned team lead proactively communicating concern recommendation provide accurate proactive time expense entry reporting create maintain report task due date proactively pitch help peer offer support needed seek opportunity improve organization downtime
170,IT Consultant @ Xactly corporation,overall summary incredible talent acquisition team work hard attract market best talent hbo ha always known great storytelling value diversity candidate experience authentic relationship client group looking seasoned full cycle recruiter join hbo ’ talent acquisition department hbo thriving domestically internationally collaborative fast paced innovative environment seeking talent acquisition professional embody attribute help support grow business challenged attracting candidate various creative content focused area hbo includes limited sale marketing creative service programming medium relation international ambassador brand ensure candidate world class experience u story shared candidate want know business support hbo employer choice turn uncover make dna term capability motivation passion navigate candidate throughout stage selection process act story teller relationship builder help connect candidate career opportunity primary responsibility partner relevant business area understand strategic objective meet hiring need create structure rigor around candidate management / experience manage relationship process flow key 3rd party vendor source access highly skilled talent top tier company within highly competitive recruiting landscape define develop execute recruitment strategy limited direct sourcing industry networking internet/social medium recruiting employee referral hackathons relevant trade industry organization build cultivate strong relationship client group understanding business objective providing solution talent need partner hr colleague business leader recommending new hire compensation package ensure hbo ha competitive position according market industry standard draft/create job description analyze resume determine appropriate match vacancy contribute talent acquisition ’ effort redefining recruitment process employer branding social medium revamping job description candidate experience accurately manage administration candidate requisition status report hiring metric compliance eeoc regulation company recruitment policy new hire on-boarding process requirement bachelor ’ degree equivalent experience required 5+ year house corporate recruitment experience demonstrated ability manage high volume recruitment activity various level use innovative method source attract passive candidate strong professional demeanor using good judgment maturity ability handle sensitive confidential information discretion partner hr stakeholder meet need business solid understanding effectively managing candidate hiring manager ’ experience recruitment onboarding process passion recruiting demonstrating curiosity stay abreast current trend best practice flexibility team attitude key able juggle multiple priorities/deadlines exceptional project management strong knowledge common human resource practice employment immigration law and/or government compliance regulation relates recruitment hiring demonstrated knowledge comfort technology social medium application including microsoft office suite google doc messengering system applicant tracking tool familiarity workday plus
171,IT Consultant @ Tredence Inc.,applying program automatically considered function location listed state preference supplemental information form deadline apply august 13 2018 11:59pm pst note applying position application automatically submitted following location mountain view ca usa ; ann arbor mi usa ; austin tx usa ; boulder co usa ; new york ny usa ; san bruno ca usa ; san francisco ca usa ; sunnyvale ca usa program building opportunity leadership development bold internship program paid summer internship rising undergraduate senior interested working technology full-time opportunity google ’ designed program expose historically underrepresented student field career opportunity industry student school student identify group historically underrepresented technology industry including limited black hispanic native american student disability veteran encouraged apply outside work engage high-impact developmental programming building meaningful relationship intern googlers variety summer activity includes 1:1 mentorship exclusive speaker series company leadership custom learning development programming opportunity create community timeline application august 9 2018 - august 13 2018 11:59pm pst september 17 2018 - november 12 2018 11:59pm pst interview october 2018 april 2019 rolling basis internship 11 week starting late-may/june _once apply provide regular status update applicant rolling basis based background interest matched interview work team 11 week summer view list example team intern considered potential full-time opportunity host team based internship performance._ bold intern placed team across business according background interest learn field work team intern joined past sale service support turn product innovation vital client solution backbone google ’ success account manager consultant admins analyst role dedicated client service whether negotiating company solving technical challenge small business surfacing product ad right place develop new business opportunity increasing use product offering marketing communication creative group ranging event planner designer statistician analyst marketing communication team live breathe motto `` user first '' u ensure google ’ voice clean simple iconic homepage others pitch journalist develop brand material tell compelling story tackle complex business issue together define people interact technology shape perception google around globe people operation keep google going growing people operation team known elsewhere hr administrative staff curious creative colleague anchor u foundation help u shoot moon pop team life mantra `` find grow keep '' dedicated staffing development distinct inclusive culture coworkers 're proud google colleague help company thrive google technical service google technical service global support operation team mission delight customer care good ’ got google team face google customer want google support experience set new standard like google ’ product team care customer solving problem scaling solution incubating new google product sharing user feedback internal team influence product development support wide variety product ad project fi everything customer include advertiser consumer partner publisher retailer sale googlers responsibility google intern given lot responsibility opportunity provide meaningful contribution team responsibility assigned intern start program qualification minimum qualification currently enrolled 4-year ba/bs degree program united state returning program completion internship ability complete 11 week program beginning may june 2019 authorization work united state preferred qualification analytical skill interest taking business problem interpersonal organizational skill ability navigate ambiguous environment interest technology industry google ’ business google ’ accept difference - celebrate support thrive benefit employee product community google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicant regardless criminal history consistent legal requirement disability special need requires accommodation please let u know recruitment agency google doe accept agency resume please forward resume job alias google employee company location google responsible fee related unsolicited resume
172,IT Consultant @ SAP,september 2009 un secretary-general designated h.m. queen máxima netherlands special advocate inclusive finance development unsgsa unsgsa honorary patron g20 global partnership financial inclusion gpfi queen máxima raise awareness advocate specific policy investment action government regulator private company international institution diverse additional stakeholder view inclusive financial system help reduce poverty equalize opportunity accelerate progress toward numerous development goal doe country visit speech meeting convening stakeholder outreach requires careful comprehensive rigorous analysis local condition policy available service public priority well need household enterprise community unsgsa ’ work done partnership wide consultation among many stakeholder working advance financial inclusion—and affected collaborates closely advisory reference group leading international organization financial inclusion share expertise suggest strategic opportunity advance advocacy partnership reference group member include alliance financial inclusion afi bill & melinda gate foundation better cash alliance consultative group assist poor cgap world bank group including international finance corporation un capital development fund uncdf un development programme undp un department economic social affair undesa international monetary fund imf omidyar network member reference group many in-country global partner play important role converting advocacy action unsgsa also consults widely un country team financial standard setting body ssbs g20/global partnership inclusive finance gpfi foundation private company bilateral donor civil society organization small staff work closely queen máxima secretariat hague coordinate advance un g20 activity office unsgsa housed undp ’ bureau external relation advocacy new york receives generous financial support bill & melinda gate foundation senior policy consultant report director office information activity priority unsgsa please visit www.unsgsa.org supervision communication specialist staff office unsgsa english editor/writer/proofreader consultant enhance communication advocacy outreach effort undertaken unsgsa financial inclusion development specifically consultant responsible drafting broad range original content editing work unsgsa staff website event meeting context create oversee production annual report consultancy assignment last 240 day on-call anticipated start date 15 oct. 2018 conclude 15 oct. 2021 payment made upon certification undp service related tor satisfactorily performed deliverable achieved duty responsibility scope work responsibility description proposed analytical work editing writing proofing draft copyedit proofread text annual report assist office writing editing possibly including writing short feature impact story newsletter contribute preparation remark speech public statement review material language consistency message assist communications-related task needed producing annual report provide photo research assistance designer provide support coordination designer proofread design stage annual report work designer/office resolve editorial design change support office marketing outreach possibly including drafting outreach letter email communication social medium message post content unsgsa website including story picture make recommendation coverage homepage consultant responsible producing following deliverable complete text caption unsgsa annual report annex/activities edited fact-checked proofed photo caption prepared designer copyediting proofreading complete final text proofreading final page layout marketing writing output needed editing variety output including speech news story newsletter etc updating unsgsa website proofreading proofreader provides final check text spelling grammar punctuation spacing copy editing light medium editing copy editor correct grammar spelling punctuation capitalization problem syntax ; ensure singular pronoun represent singular noun plural pronoun plural noun ; standardize note bibliography reference list ; make style decision based _undp editorial style manual_ regarding punctuation source citation whether spell number leave numeral capitalization latin abbreviation foreign word quotation use academic military title italicize word use quotation mark etc. line editing heavier editing addition performing task copy editing editor take active role initiating change sentence polished reworded improve clarity flow get rid repetition clumsy wording convoluted sentence structure fact checked corrected section may rearranged necessary subhead chapter title might reworked editor may make suggestion remedy issue author might overlooked order clarify messaging ensure text conveys fact personal theory ; remove jargon etc competency _corporate_ demonstrates integrity modelling un ’ value ethical standard ; promotes vision mission strategic goal undp ; display cultural gender religion race nationality age sensitivity adaptability ; treat people fairly without favoritism functional excellent writing editing research proofreading skill ; previous knowledge print design requirement process ; strong organizational skill ability multi-task ; attention detail crucial ; responsible responsive enthusiastic ; must able work multi-cultural environment aware political sensitivity interest global issue united nation client orientation communication good interpersonal networking skill ability establish maintain effective working relation support encourages open communication team facilitates team work ; ability work minimum supervision required skill experience academic qualification ba writing communication journalism international relation related field year experience minimum five year relevant experience editing writing proofreading including significant experience print publication required ; previous experience issue surrounding financial inclusion preferred ; outstanding writing editing skill english ; required experience editing organizing photography writing caption ; extensive experience working closely designer execute layout required ; knowledge experience overseeing creation information graphics/data visualization language fluency written spoken englishis required ; application procedure application package containing following uploaded one file online application brief description offer considers her/himself suitable assignment ; personal cv p11 indicating past experience similar project specifying relevant assignment period from/to well email telephone contact least three 3 professional reference writing editing editing sample provide url link published document note document need scanned one file uploaded online application one document shortlisted candidate requested submit financial proposal financial proposal specify all-inclusive daily fee based 7-hour working day - lunch time included - estimated 21.75 day per month financial proposal must all-inclusive take account various expense incurred contract including daily professional fee ; cost travel home base duty station vice versa required ; living allowance duty station ; communication utility consumables ; life health insurance ; risk inconvenience related work hardship hazardous condition e.g personal security need etc applicable ; relevant expense related performance service contract consultancy home-based assignment therefore envisaged travel cost join duty station/repatriation travel case unforeseeable travel requested undp payment travel cost including ticket lodging terminal expense agreed upon undp individual consultant prior travel reimbursed general undp accept travel cost exceeding economy class ticket ic wish travel higher class he/she using resource offeror employed organization/company/institution he/she expects his/her employer charge management fee process releasing him/her undp reimbursable loan agreement rla offeror must indicate point ensure cost duly incorporated financial proposal submitted undp financial proposal emailed per instruction separate email sent shortlisted candidate evaluation process applicant reviewed based required skill experience stated based technical evaluation criterion outlined applicant evaluated based cumulative scoring using weighted scoring method award contract made individual consultant whose offer ha evaluated determined responsive/compliant/acceptable ; received highest score pre-determined set weighted technical financial criterion specific solicitation technical criterion weighs 70 financial criteria/ proposal weighs 30 technical evaluation - total 70 700 point criterion 1 demonstrable experience writing editing handling web print production maximum point 200 point ; criterion 2 prior experience nonprofit annual report related research/production maximum point 200 point ; criterion 3 quality writing editing sample maximum point 200 point criterion 4 demonstrable experience editing organizing photography writing caption maximum point 50 point ; criterion 5 experience wide range content creation particularly including well-written report feature story profile maximum point 50 point reviewed application received undp conduct desk review top three shortlisted candidate candidate obtaining minimum 70 490 point maximum obtainable point technical criterion 700 point shall considered financial evaluation financial evaluation - total 30 300 point following formula used evaluate financial proposal p = µ/z p = point financial proposal evaluated = maximum number point financial proposal µ = price lowest priced proposal z = price proposal evaluated framework agreement undp plan enter long-term agreement lta top ranked successful individual contractor assure resource availability required time frame and/or increased demand service requested service used intermittent repetitive basis needed based fixed unit price prospective applicant contracted undp ’ discretion may placed roster consultant used based on-call basis similar service please note lta doe form financial obligation commitment undp time lta contract signed agreement non-exclusive specific need arises successful individual contractor/s approached provided specific tor deliverable time frame still within scope responsibility stated lta successful individual contractor expected provide confirmation interest specific service required agreed lta daily rate consultancy fee financial commitment established time purchase order specific services/tor individual contractor committed lta ha cumulative ceiling amount may accrue individual contractor life lta said amount shall remain upper limit must interpreted understood neither financial commitment guarantee business volume contract award candidate obtaining highest combined score combined score technical financial evaluation considered technically qualified offered enter contract undp institutional arrangement consultant work guidance direct supervision director office unsgsa responsible fulfilment deliverable specified payment modality payment individual contractor made based actual number day worked deliverable accepted upon certification satisfactory completion manager work week based 35 hour i.e 7 hour working day core hour 9h00 18h00 daily annex _ click hyperlink access document _ annex 1 - undp p-11 form ic annex 2 - ic contract template annex 3 – ic general term condition annex 4 – rla template request clarification must sent email cpu.bids @ undp.org undp central procurement unit respond email send written copy response including explanation query without identifying source inquiry applicant undp committed achieving workforce diversity term gender nationality culture individual minority group indigenous group person disability equally encouraged apply
